feature,importance
tx_amount_sum,6.8621628854152315
top_email_domain,6.786222490360365
odd_amount_share,6.305738785939607
tx_amount_median_proxy,5.399619523323325
tx_amount_mean,5.082523764310279
short_turnover_share,3.833662264846328
tx_sum_stanadart_flow_proxy_proxy,3.437309254780028
avg_inter_tx_seconds,3.1458435144262404
tx_freq_per_day,3.0385997362152515
id_20_mode,3.012441514422468
tx_dt_span_days,3.0116299154691943
card4_mode,3.010850503540868
tx_amount_std,2.754862786078102
id_31_mode,2.3383729892647884
card6_mode,2.0210315467087305
id_17_mode,2.0004935215457613
daily_activity_share,1.866793314797416
tx_sum_high_risk_flow_proxy,1.8495759213121168
id_02_median,1.8049501669605783
amount_repeat_share,1.7544866779954216
id_19_mode,1.6813256604001134
id_01_mean,1.528459467172545
tx_count_standart_flow,1.5213631721529322
id_02_mean,1.4650538010943326
id_30_mode,1.4193602052357277
id_33_mode,1.4139985820916345
id_36_mode,1.1528922439967457
num_missing_identity,1.137091413462724
id_06_mean,1.0126835831933534
id_35_mode,0.9658060689710392
id_13_mode,0.9274771909887101
id_14_mode,0.8810164470620062
crypto_pattern_score,0.8722167915895609
id_34_mode,0.8548919595421139
cash_out_ratio_proxy,0.8326886963536527
id_12_mode,0.7288790210540622
high_risk_vs_mean,0.7229281774710052
id_09_mean,0.6922151781250053
id_32_mode,0.677272163055028
id_05_mean,0.6631957418790384
id_18_mode,0.6558695854266843
id_09_median,0.5818478908483667
id_38_mode,0.5191598105781144
id_37_mode,0.5137564956585476
id_05_median,0.47569032246247533
weighted_amount_repeat_share,0.4625954615225665
id_29_mode,0.4368526266558824
id_15_mode,0.4295640317587267
history_support_score,0.4208465688334331
id_10_median,0.41144404934145984
id_16_mode,0.40620209118980444
addr2_nunique,0.4019228116273862
id_06_median,0.3975820047620322
non_null_id_values,0.3807953002853178
id_01_median,0.34642826458176224
id_28_mode,0.32469797718314725
id_10_mean,0.3131439037182952
MCC_risk_share_proxy,0.2959338542040093
tx_count_high_risk_flow,0.21740394731567084
id_03_count,0.1869486374218812
low_history_flag,0.16281479603261023
tx_count_total,0.1402338375016033
id_04_median,0.13654083459033514
id_09_count,0.13639052105553648
id_11_mean,0.12925394844042554
id_11_median,0.1287093519682274
device_type_nunique,0.11351613172803436
id_10_count,0.10291520209079162
productcd_nunique,0.08217739403976547
id_03_median,0.06161233247512611
id_03_mean,0.036930267584144895
id_08_count,0.022991497603925562
identity_present,0.022594736047510784
id_06_count,0.01950285041347956
id_04_mean,0.018085048339243688
id_07_count,0.0177604927702956
identity_rows,0.010696933252405158
id_02_count,0.010601546087533548
id_05_count,0.0
id_04_count,0.0
id_01_count,0.0
id_11_count,0.0
