feature,importance
tx_amount_sum,6.914786165244983
odd_amount_share,5.954778487737316
top_email_domain,5.752556870242383
tx_amount_median_proxy,5.739128733899613
tx_amount_mean,5.390728210588158
tx_freq_per_day,4.095192692512927
avg_inter_tx_seconds,3.8511377462606826
tx_amount_std,3.8493623164348025
short_turnover_share,3.759812922228366
id_20_mode,3.352135589977736
tx_dt_span_days,3.3085402125398997
tx_sum_stanadart_flow_proxy_proxy,3.007203552114837
id_19_mode,2.5147799592980893
card4_mode,2.447363027069954
daily_activity_share,2.2520986705614674
id_02_mean,2.0351274631822682
id_31_mode,1.9112914433639514
amount_repeat_share,1.5750256293000084
id_02_median,1.5749259216042801
tx_sum_high_risk_flow_proxy,1.4441687648139434
card6_mode,1.3283396032318857
id_13_mode,1.321931144428088
cash_out_ratio_proxy,1.3026890468796595
id_33_mode,1.2997142767791974
id_17_mode,1.287514080155507
num_missing_identity,1.1341252388156957
non_null_id_values,1.0955973469266223
tx_count_standart_flow,1.0939369925633518
id_01_mean,1.0848967380804995
id_30_mode,1.0106476456225657
id_06_mean,0.9931485425877913
crypto_pattern_score,0.9069941249548076
id_14_mode,0.8422837276092145
high_risk_vs_mean,0.8191269291896572
id_34_mode,0.7588945662352634
id_05_mean,0.7545517063424269
id_06_median,0.6865031263348994
id_18_mode,0.6724976980368964
id_36_mode,0.6076513478848727
id_38_mode,0.592222005397947
id_12_mode,0.5834316523899304
weighted_amount_repeat_share,0.5719564508612061
id_01_median,0.5595081102487961
id_05_median,0.5547826331159116
id_37_mode,0.5295258031470889
id_35_mode,0.5238306636181373
id_15_mode,0.5044573181196558
history_support_score,0.47032433610370933
id_10_median,0.4284031810412981
MCC_risk_share_proxy,0.4123775407179035
id_16_mode,0.4061013654846074
id_32_mode,0.38650516728492035
id_28_mode,0.3696687304705683
id_11_mean,0.3108105715436451
id_10_mean,0.30265950798723157
tx_count_total,0.2877981153846994
addr2_nunique,0.25341481314517167
id_09_mean,0.2430597758209567
id_11_median,0.19879416531811217
id_29_mode,0.19456507807109208
id_10_count,0.1522037409590441
id_09_count,0.13401096700594137
device_type_nunique,0.12796773253513108
id_08_count,0.10591220333284669
id_03_median,0.1046867940252767
id_09_median,0.09853689353693826
id_04_mean,0.09710632576954888
productcd_nunique,0.09617629615345895
id_04_count,0.09055611985562002
tx_count_high_risk_flow,0.07799088045799517
id_04_median,0.068121425603065
low_history_flag,0.06810417418992824
id_03_mean,0.06389594136889741
id_01_count,0.061299375080226697
id_07_count,0.05302555881702032
id_05_count,0.04594680883605819
id_03_count,0.035030571601810424
id_11_count,0.02613556702595313
id_06_count,0.023786783106669786
id_02_count,0.023585502178341492
identity_present,0.01753012086157209
identity_rows,0.0130049707915127
