top_rate,top_k,precision_at_k,recall_at_k,fraud_found,total_fraud,variant,split
0.01,262,0.7251908396946565,0.19507186858316222,190,974,full_base,val
0.03,785,0.5121019108280255,0.4127310061601643,402,974,full_base,val
0.05,1308,0.38990825688073394,0.5236139630390144,510,974,full_base,val
0.1,2615,0.248565965583174,0.6673511293634496,650,974,full_base,val
0.15,3922,0.18867924528301888,0.7597535934291582,740,974,full_base,val
0.01,262,0.7404580152671756,0.19917864476386038,194,974,full_base,test
0.03,785,0.5210191082802548,0.419917864476386,409,974,full_base,test
0.05,1308,0.39908256880733944,0.5359342915811088,522,974,full_base,test
0.1,2615,0.25239005736137665,0.6776180698151951,660,974,full_base,test
0.15,3922,0.18765935747067822,0.75564681724846,736,974,full_base,test
0.01,262,0.7137404580152672,0.1919917864476386,187,974,with_sparse_identity,val
0.03,785,0.5070063694267516,0.4086242299794661,398,974,with_sparse_identity,val
0.05,1308,0.38990825688073394,0.5236139630390144,510,974,with_sparse_identity,val
0.1,2615,0.24933078393881453,0.6694045174537988,652,974,with_sparse_identity,val
0.15,3922,0.18944416114227436,0.7628336755646817,743,974,with_sparse_identity,val
0.01,262,0.7213740458015268,0.19404517453798767,189,974,with_sparse_identity,test
0.03,785,0.5286624203821656,0.4260780287474333,415,974,with_sparse_identity,test
0.05,1308,0.39602446483180426,0.5318275154004107,518,974,with_sparse_identity,test
0.1,2615,0.25353728489483746,0.6806981519507187,663,974,with_sparse_identity,test
0.15,3922,0.1884242733299337,0.7587268993839835,739,974,with_sparse_identity,test
0.01,262,0.5648854961832062,0.15195071868583163,148,974,without_identity,val
0.03,785,0.39872611464968155,0.3213552361396304,313,974,without_identity,val
0.05,1308,0.3119266055045872,0.4188911704312115,408,974,without_identity,val
0.1,2615,0.2130019120458891,0.5718685831622177,557,974,without_identity,val
0.15,3922,0.16675165731769506,0.6714579055441479,654,974,without_identity,val
0.01,262,0.6068702290076335,0.16324435318275154,159,974,without_identity,test
0.03,785,0.3910828025477707,0.31519507186858314,307,974,without_identity,test
0.05,1308,0.30504587155963303,0.40965092402464065,399,974,without_identity,test
0.1,2615,0.21491395793499043,0.5770020533880903,562,974,without_identity,test
0.15,3922,0.16726160122386538,0.6735112936344969,656,974,without_identity,test
0.01,262,0.7290076335877863,0.19609856262833675,191,974,without_email_domain,val
0.03,785,0.5070063694267516,0.4086242299794661,398,974,without_email_domain,val
0.05,1308,0.38073394495412843,0.5112936344969199,498,974,without_email_domain,val
0.1,2615,0.2462715105162524,0.6611909650924025,644,974,without_email_domain,val
0.15,3922,0.1812850586435492,0.7299794661190965,711,974,without_email_domain,val
0.01,262,0.7137404580152672,0.1919917864476386,187,974,without_email_domain,test
0.03,785,0.5057324840764331,0.4075975359342916,397,974,without_email_domain,test
0.05,1308,0.3853211009174312,0.5174537987679672,504,974,without_email_domain,test
0.1,2615,0.24780114722753346,0.6652977412731006,648,974,without_email_domain,test
0.15,3922,0.1845996940336563,0.7433264887063655,724,974,without_email_domain,test
0.01,262,0.6870229007633588,0.18480492813141683,180,974,without_amount,val
0.03,785,0.4942675159235669,0.39835728952772076,388,974,without_amount,val
0.05,1308,0.3753822629969419,0.5041067761806981,491,974,without_amount,val
0.1,2615,0.23862332695984703,0.6406570841889117,624,974,without_amount,val
0.15,3922,0.18026517083120858,0.7258726899383984,707,974,without_amount,val
0.01,262,0.7519083969465649,0.20225872689938398,197,974,without_amount,test
0.03,785,0.5019108280254777,0.40451745379876797,394,974,without_amount,test
0.05,1308,0.3853211009174312,0.5174537987679672,504,974,without_amount,test
0.1,2615,0.23977055449330784,0.6437371663244353,627,974,without_amount,test
0.15,3922,0.18001019887812342,0.7248459958932238,706,974,without_amount,test
0.01,262,0.7022900763358778,0.188911704312115,184,974,without_activity_time,val
0.03,785,0.5082802547770701,0.40965092402464065,399,974,without_activity_time,val
0.05,1308,0.386085626911315,0.5184804928131417,505,974,without_activity_time,val
0.1,2615,0.2424474187380497,0.6509240246406571,634,974,without_activity_time,val
0.15,3922,0.17975522692503826,0.7238193018480493,705,974,without_activity_time,val
0.01,262,0.7366412213740458,0.19815195071868583,193,974,without_activity_time,test
0.03,785,0.5146496815286624,0.41478439425051333,404,974,without_activity_time,test
0.05,1308,0.386085626911315,0.5184804928131417,505,974,without_activity_time,test
0.1,2615,0.24321223709369025,0.6529774127310062,636,974,without_activity_time,test
0.15,3922,0.1787353391126976,0.7197125256673511,701,974,without_activity_time,test
0.01,262,0.6984732824427481,0.18788501026694046,183,974,without_flow_risk,val
0.03,785,0.5146496815286624,0.41478439425051333,404,974,without_flow_risk,val
0.05,1308,0.38685015290519875,0.5195071868583162,506,974,without_flow_risk,val
0.1,2615,0.2474187380497132,0.6642710472279261,647,974,without_flow_risk,val
0.15,3922,0.1884242733299337,0.7587268993839835,739,974,without_flow_risk,val
0.01,262,0.7251908396946565,0.19507186858316222,190,974,without_flow_risk,test
0.03,785,0.5184713375796178,0.41786447638603696,407,974,without_flow_risk,test
0.05,1308,0.38685015290519875,0.5195071868583162,506,974,without_flow_risk,test
0.1,2615,0.25162523900573613,0.675564681724846,658,974,without_flow_risk,test
0.15,3922,0.18536460989291179,0.7464065708418891,727,974,without_flow_risk,test
