feature,importance
tx_amount_sum,6.863798128660067
top_email_domain,6.788426966149872
odd_amount_share,6.304849598360853
tx_amount_median_proxy,5.405848641964834
tx_amount_mean,5.08177496524128
short_turnover_share,3.833143901036525
tx_sum_stanadart_flow_proxy_proxy,3.4367638014879685
avg_inter_tx_seconds,3.145358697461729
tx_freq_per_day,3.038134779503498
id_20_mode,3.012040756190312
tx_dt_span_days,3.011167737063566
card4_mode,3.0104587487100964
tx_amount_std,2.7544633408572565
id_31_mode,2.3380402837425147
card6_mode,2.020720902833811
id_17_mode,2.0002142759325703
daily_activity_share,1.866523305056478
tx_sum_high_risk_flow_proxy,1.8493744795332707
id_02_median,1.804711337775541
amount_repeat_share,1.7597395384748435
id_19_mode,1.6810836314740876
id_01_mean,1.5282737627084992
tx_count_standart_flow,1.5211940520015328
id_02_mean,1.4648706394589863
id_30_mode,1.419144041954873
id_33_mode,1.413796338569833
id_36_mode,1.1507058105335868
num_missing_identity,1.1369680293793916
id_06_mean,1.01253728173278
id_35_mode,0.9656555859628057
id_13_mode,0.9273440294643428
id_14_mode,0.8808834078965743
crypto_pattern_score,0.8721156445480914
id_34_mode,0.8547729075666085
cash_out_ratio_proxy,0.8325666003246414
id_12_mode,0.7287749808383307
high_risk_vs_mean,0.7228226613661155
id_09_mean,0.6921227408813433
id_32_mode,0.6771745997420745
id_05_mean,0.6631009814555092
id_18_mode,0.6558089374868535
id_09_median,0.5817593528896935
id_38_mode,0.5190963074560739
id_37_mode,0.5176584239641775
id_05_median,0.475622172567158
weighted_amount_repeat_share,0.45700172403559525
id_29_mode,0.4420583603440642
id_15_mode,0.42950267617784127
history_support_score,0.42512444381307823
id_10_median,0.41138914766557677
id_16_mode,0.40613753186636
addr2_nunique,0.4018557423006205
id_06_median,0.3975259766822854
non_null_id_values,0.3807361102589308
id_01_median,0.3463755953970094
id_28_mode,0.3187893997774854
id_10_mean,0.3131249194628115
MCC_risk_share_proxy,0.2958908384917396
tx_count_high_risk_flow,0.21737203079607262
id_03_count,0.18692000235757744
low_history_flag,0.15737061221001303
id_09_count,0.15048242039851545
tx_count_total,0.14129569631869018
id_04_median,0.1365187623894802
id_11_mean,0.12923543488101424
id_11_median,0.1286904142536097
device_type_nunique,0.1134974822648946
id_10_count,0.08878882905163078
productcd_nunique,0.08216526579826224
id_03_median,0.06160302207162318
id_03_mean,0.03692509648349082
id_08_count,0.028154632737321748
identity_present,0.022591442030868703
id_06_count,0.01950001402364021
id_04_mean,0.018082245740015424
id_07_count,0.012591710561132919
identity_rows,0.01069534993779464
id_02_count,0.010599961160065435
id_05_count,0.0
id_04_count,0.0
id_01_count,0.0
id_11_count,0.0
