feature,importance,model
top_email_domain,8.098662730743575,catboost_reference
tx_amount_sum,7.020658883690219,catboost_reference
odd_amount_share,6.905918977998616,catboost_reference
tx_amount_median_proxy,5.4963493080664705,catboost_reference
tx_amount_mean,5.3360788279508045,catboost_reference
tx_sum_stanadart_flow_proxy_proxy,3.8809292170157854,catboost_reference
short_turnover_share,3.83965191000065,catboost_reference
card4_mode,3.4236822920569665,catboost_reference
tx_amount_std,2.851383362100093,catboost_reference
id_20_mode,2.7629211385880272,catboost_reference
avg_inter_tx_seconds,2.7024086856601617,catboost_reference
tx_dt_span_days,2.5954591160036995,catboost_reference
card6_mode,2.543968234414183,catboost_reference
tx_freq_per_day,2.5134953543303182,catboost_reference
id_31_mode,2.0535477989455924,catboost_reference
id_02_mean,1.905137905316664,catboost_reference
amount_repeat_share,1.8408484423147833,catboost_reference
tx_sum_high_risk_flow_proxy,1.7731745907663632,catboost_reference
id_19_mode,1.7363591619615006,catboost_reference
id_02_median,1.5183040722685215,catboost_reference
daily_activity_share,1.4972584774577171,catboost_reference
id_33_mode,1.4866290754694054,catboost_reference
id_01_mean,1.427221102342107,catboost_reference
id_30_mode,1.3423179154548146,catboost_reference
id_17_mode,1.293211560113551,catboost_reference
tx_count_standart_flow,1.248226484809455,catboost_reference
id_13_mode,1.1386049890736567,catboost_reference
id_06_mean,1.0745931861565223,catboost_reference
crypto_pattern_score,1.0009888720919444,catboost_reference
num_missing_identity,0.9786867960128991,catboost_reference
id_12_mode,0.9621564114889177,catboost_reference
cash_out_ratio_proxy,0.9227754969630891,catboost_reference
id_36_mode,0.8886310413147266,catboost_reference
id_34_mode,0.7457478024935765,catboost_reference
id_14_mode,0.7192496940329497,catboost_reference
id_05_mean,0.688006759582276,catboost_reference
id_18_mode,0.6562320904512547,catboost_reference
id_16_mode,0.6147771410822166,catboost_reference
id_38_mode,0.6131173416208976,catboost_reference
id_35_mode,0.5971859208096063,catboost_reference
id_28_mode,0.591078011654999,catboost_reference
id_37_mode,0.5647669809717759,catboost_reference
history_support_score,0.5351086723330151,catboost_reference
weighted_amount_repeat_share,0.5313844745132036,catboost_reference
id_05_median,0.5126953393606096,catboost_reference
id_15_mode,0.5041163118291316,catboost_reference
non_null_id_values,0.49012216002739784,catboost_reference
id_29_mode,0.461416967414018,catboost_reference
id_09_mean,0.45027521580814833,catboost_reference
id_32_mode,0.40130773403749054,catboost_reference
addr2_nunique,0.39678426847756937,catboost_reference
id_01_median,0.39347930507747714,catboost_reference
high_risk_vs_mean,0.3781138416939862,catboost_reference
id_10_mean,0.3550261496359583,catboost_reference
id_10_median,0.3427769293044616,catboost_reference
id_06_median,0.32358631871317306,catboost_reference
id_09_median,0.3076743319072367,catboost_reference
tx_count_total,0.23834435328526127,catboost_reference
id_09_count,0.23487128598033608,catboost_reference
MCC_risk_share_proxy,0.22900506488792802,catboost_reference
low_history_flag,0.17282587423338705,catboost_reference
id_11_mean,0.15031429316416353,catboost_reference
tx_count_high_risk_flow,0.14353263897507904,catboost_reference
device_type_nunique,0.10915825472419284,catboost_reference
id_10_count,0.09215835557320474,catboost_reference
id_03_median,0.07845687362940779,catboost_reference
id_04_mean,0.06767925527904739,catboost_reference
productcd_nunique,0.052799545264146146,catboost_reference
id_11_median,0.04980185056196268,catboost_reference
