feature,importance,model,base_config,seed
num__tx_amount_mean,5184,lgbm_pr_default_seed42,lgbm_pr_default,42
num__tx_amount_median_proxy,4903,lgbm_pr_default_seed42,lgbm_pr_default,42
num__tx_amount_sum,4806,lgbm_pr_default_seed42,lgbm_pr_default,42
num__tx_amount_std,3744,lgbm_pr_default_seed42,lgbm_pr_default,42
num__avg_inter_tx_seconds,3430,lgbm_pr_default_seed42,lgbm_pr_default,42
num__tx_dt_span_days,3154,lgbm_pr_default_seed42,lgbm_pr_default,42
num__tx_sum_stanadart_flow_proxy_proxy,3135,lgbm_pr_default_seed42,lgbm_pr_default,42
num__id_20_mode,2963,lgbm_pr_default_seed42,lgbm_pr_default,42
num__id_19_mode,2889,lgbm_pr_default_seed42,lgbm_pr_default,42
num__id_02_mean,2726,lgbm_pr_default_seed42,lgbm_pr_default,42
num__id_02_median,2586,lgbm_pr_default_seed42,lgbm_pr_default,42
num__tx_freq_per_day,1883,lgbm_pr_default_seed42,lgbm_pr_default,42
num__odd_amount_share,1866,lgbm_pr_default_seed42,lgbm_pr_default,42
num__num_missing_identity,1647,lgbm_pr_default_seed42,lgbm_pr_default,42
num__daily_activity_share,1583,lgbm_pr_default_seed42,lgbm_pr_default,42
num__crypto_pattern_score,1568,lgbm_pr_default_seed42,lgbm_pr_default,42
num__amount_repeat_share,1556,lgbm_pr_default_seed42,lgbm_pr_default,42
num__id_01_mean,1522,lgbm_pr_default_seed42,lgbm_pr_default,42
num__id_06_mean,1424,lgbm_pr_default_seed42,lgbm_pr_default,42
num__non_null_id_values,1295,lgbm_pr_default_seed42,lgbm_pr_default,42
num__tx_sum_high_risk_flow_proxy,1283,lgbm_pr_default_seed42,lgbm_pr_default,42
num__id_05_mean,1274,lgbm_pr_default_seed42,lgbm_pr_default,42
num__id_13_mode,1208,lgbm_pr_default_seed42,lgbm_pr_default,42
num__short_turnover_share,1172,lgbm_pr_default_seed42,lgbm_pr_default,42
num__id_06_median,988,lgbm_pr_default_seed42,lgbm_pr_default,42
num__high_risk_vs_mean,933,lgbm_pr_default_seed42,lgbm_pr_default,42
num__id_14_mode,870,lgbm_pr_default_seed42,lgbm_pr_default,42
num__MCC_risk_share_proxy,839,lgbm_pr_default_seed42,lgbm_pr_default,42
num__weighted_amount_repeat_share,818,lgbm_pr_default_seed42,lgbm_pr_default,42
cat__top_email_domain_gmail.com,814,lgbm_pr_default_seed42,lgbm_pr_default,42
num__cash_out_ratio_proxy,810,lgbm_pr_default_seed42,lgbm_pr_default,42
num__id_05_median,665,lgbm_pr_default_seed42,lgbm_pr_default,42
num__id_01_median,600,lgbm_pr_default_seed42,lgbm_pr_default,42
cat__card4_mode_mastercard,571,lgbm_pr_default_seed42,lgbm_pr_default,42
num__tx_count_total,518,lgbm_pr_default_seed42,lgbm_pr_default,42
num__tx_count_standart_flow,507,lgbm_pr_default_seed42,lgbm_pr_default,42
num__id_17_mode,495,lgbm_pr_default_seed42,lgbm_pr_default,42
cat__card4_mode_visa,472,lgbm_pr_default_seed42,lgbm_pr_default,42
num__id_11_mean,411,lgbm_pr_default_seed42,lgbm_pr_default,42
num__id_03_count,393,lgbm_pr_default_seed42,lgbm_pr_default,42
cat__top_email_domain_anonymous.com,357,lgbm_pr_default_seed42,lgbm_pr_default,42
cat__top_email_domain_yahoo.com,350,lgbm_pr_default_seed42,lgbm_pr_default,42
cat__top_email_domain_hotmail.com,347,lgbm_pr_default_seed42,lgbm_pr_default,42
num__id_09_count,331,lgbm_pr_default_seed42,lgbm_pr_default,42
num__id_18_mode,270,lgbm_pr_default_seed42,lgbm_pr_default,42
cat__top_email_domain_aol.com,257,lgbm_pr_default_seed42,lgbm_pr_default,42
cat__card6_mode_credit,249,lgbm_pr_default_seed42,lgbm_pr_default,42
cat__top_email_domain_MISSING,238,lgbm_pr_default_seed42,lgbm_pr_default,42
num__id_11_median,230,lgbm_pr_default_seed42,lgbm_pr_default,42
num__id_09_mean,224,lgbm_pr_default_seed42,lgbm_pr_default,42
cat__id_30_mode_Windows 7,224,lgbm_pr_default_seed42,lgbm_pr_default,42
cat__id_31_mode_chrome 63.0,221,lgbm_pr_default_seed42,lgbm_pr_default,42
cat__id_33_mode_1366x768,208,lgbm_pr_default_seed42,lgbm_pr_default,42
cat__card4_mode_discover,203,lgbm_pr_default_seed42,lgbm_pr_default,42
cat__id_33_mode_1920x1080,195,lgbm_pr_default_seed42,lgbm_pr_default,42
cat__id_38_mode_F,180,lgbm_pr_default_seed42,lgbm_pr_default,42
cat__id_33_mode_2208x1242,180,lgbm_pr_default_seed42,lgbm_pr_default,42
cat__id_34_mode_match_status:2,177,lgbm_pr_default_seed42,lgbm_pr_default,42
cat__id_31_mode_ie 11.0 for desktop,155,lgbm_pr_default_seed42,lgbm_pr_default,42
cat__id_30_mode_Windows 10,148,lgbm_pr_default_seed42,lgbm_pr_default,42
cat__id_31_mode_chrome 62.0,148,lgbm_pr_default_seed42,lgbm_pr_default,42
num__device_type_nunique,137,lgbm_pr_default_seed42,lgbm_pr_default,42
num__id_32_mode,132,lgbm_pr_default_seed42,lgbm_pr_default,42
cat__top_email_domain_outlook.com,128,lgbm_pr_default_seed42,lgbm_pr_default,42
cat__id_12_mode_Found,128,lgbm_pr_default_seed42,lgbm_pr_default,42
cat__id_31_mode_mobile safari 11.0,127,lgbm_pr_default_seed42,lgbm_pr_default,42
cat__id_37_mode_F,126,lgbm_pr_default_seed42,lgbm_pr_default,42
cat__id_31_mode_safari generic,122,lgbm_pr_default_seed42,lgbm_pr_default,42
num__id_03_mean,120,lgbm_pr_default_seed42,lgbm_pr_default,42
cat__top_email_domain_icloud.com,118,lgbm_pr_default_seed42,lgbm_pr_default,42
num__addr2_nunique,118,lgbm_pr_default_seed42,lgbm_pr_default,42
cat__id_16_mode_NotFound,116,lgbm_pr_default_seed42,lgbm_pr_default,42
cat__id_30_mode_iOS 11.1.2,114,lgbm_pr_default_seed42,lgbm_pr_default,42
cat__id_31_mode_firefox,113,lgbm_pr_default_seed42,lgbm_pr_default,42
num__id_05_count,106,lgbm_pr_default_seed42,lgbm_pr_default,42
cat__id_31_mode_chrome generic,106,lgbm_pr_default_seed42,lgbm_pr_default,42
cat__id_31_mode_infrequent_sklearn,105,lgbm_pr_default_seed42,lgbm_pr_default,42
cat__id_33_mode_2048x1536,105,lgbm_pr_default_seed42,lgbm_pr_default,42
cat__id_31_mode_mobile safari generic,104,lgbm_pr_default_seed42,lgbm_pr_default,42
cat__top_email_domain_mail.com,102,lgbm_pr_default_seed42,lgbm_pr_default,42
cat__id_29_mode_Found,101,lgbm_pr_default_seed42,lgbm_pr_default,42
cat__id_33_mode_1280x720,99,lgbm_pr_default_seed42,lgbm_pr_default,42
cat__id_15_mode_New,96,lgbm_pr_default_seed42,lgbm_pr_default,42
cat__id_37_mode_T,95,lgbm_pr_default_seed42,lgbm_pr_default,42
cat__id_33_mode_2436x1125,92,lgbm_pr_default_seed42,lgbm_pr_default,42
cat__id_31_mode_chrome 63.0 for android,92,lgbm_pr_default_seed42,lgbm_pr_default,42
cat__id_34_mode_match_status:1,91,lgbm_pr_default_seed42,lgbm_pr_default,42
cat__id_12_mode_NotFound,90,lgbm_pr_default_seed42,lgbm_pr_default,42
cat__id_38_mode_T,84,lgbm_pr_default_seed42,lgbm_pr_default,42
num__id_04_mean,83,lgbm_pr_default_seed42,lgbm_pr_default,42
num__tx_count_high_risk_flow,82,lgbm_pr_default_seed42,lgbm_pr_default,42
num__id_10_median,82,lgbm_pr_default_seed42,lgbm_pr_default,42
cat__card4_mode_american express,81,lgbm_pr_default_seed42,lgbm_pr_default,42
cat__id_30_mode_Mac OS X 10_12_6,80,lgbm_pr_default_seed42,lgbm_pr_default,42
num__id_09_median,79,lgbm_pr_default_seed42,lgbm_pr_default,42
cat__id_31_mode_mobile safari 10.0,79,lgbm_pr_default_seed42,lgbm_pr_default,42
cat__id_31_mode_chrome 65.0,78,lgbm_pr_default_seed42,lgbm_pr_default,42
cat__top_email_domain_rocketmail.com,76,lgbm_pr_default_seed42,lgbm_pr_default,42
cat__top_email_domain_att.net,74,lgbm_pr_default_seed42,lgbm_pr_default,42
cat__id_16_mode_Found,72,lgbm_pr_default_seed42,lgbm_pr_default,42
cat__id_30_mode_iOS 11.2.6,70,lgbm_pr_default_seed42,lgbm_pr_default,42
cat__top_email_domain_ymail.com,68,lgbm_pr_default_seed42,lgbm_pr_default,42
cat__id_30_mode_Android 7.0,67,lgbm_pr_default_seed42,lgbm_pr_default,42
cat__id_31_mode_edge 15.0,66,lgbm_pr_default_seed42,lgbm_pr_default,42
cat__id_31_mode_chrome 66.0,66,lgbm_pr_default_seed42,lgbm_pr_default,42
cat__id_31_mode_edge 16.0,65,lgbm_pr_default_seed42,lgbm_pr_default,42
num__id_10_mean,63,lgbm_pr_default_seed42,lgbm_pr_default,42
cat__id_30_mode_Mac OS X 10_10_5,62,lgbm_pr_default_seed42,lgbm_pr_default,42
cat__id_30_mode_Mac OS X 10_11_6,61,lgbm_pr_default_seed42,lgbm_pr_default,42
cat__id_30_mode_Mac OS X 10_13_1,60,lgbm_pr_default_seed42,lgbm_pr_default,42
cat__id_30_mode_iOS 11.2.1,60,lgbm_pr_default_seed42,lgbm_pr_default,42
cat__top_email_domain_sbcglobal.net,59,lgbm_pr_default_seed42,lgbm_pr_default,42
cat__id_33_mode_1280x800,59,lgbm_pr_default_seed42,lgbm_pr_default,42
