model,split,target_fpr,actual_fpr,recall_at_fpr,threshold,precision_at_fpr,pred_positive_rate,pred_positive_count
lgbm_pr_default_seed42,val,0.005,0.004926891290527654,0.3131416837782341,0.9028952746475701,0.710955710955711,0.01641037411062658,429
lgbm_pr_default_seed42,val,0.01,0.009893515575333757,0.3870636550308008,0.8331255878002022,0.6022364217252396,0.023946140310611277,626
lgbm_pr_default_seed42,val,0.02,0.019707565162110616,0.4856262833675565,0.7282502539051784,0.48813209494324045,0.03706678907505164,969
lgbm_pr_default_seed42,val,0.03,0.029164017800381435,0.5400410677618069,0.6471623736520018,0.4174603174603175,0.04819830158365848,1260
lgbm_pr_default_seed42,val,0.05,0.04994437380801017,0.608829568788501,0.5357241760895293,0.32054054054054054,0.07076734756330809,1850
lgbm_pr_default_seed42,test,0.005,0.004966624284806103,0.324435318275154,0.8823194424647409,0.7165532879818595,0.01686940555428047,441
lgbm_pr_default_seed42,test,0.01,0.009972981563890655,0.4075975359342916,0.8043886540608721,0.6126543209876543,0.024787697957310076,648
lgbm_pr_default_seed42,test,0.02,0.019866497139224414,0.4938398357289528,0.7034218597770905,0.49031600407747195,0.03752582051870553,981
lgbm_pr_default_seed42,test,0.03,0.02940241576605213,0.5564681724845996,0.6242701153935643,0.42277691107644305,0.04903985923035728,1282
lgbm_pr_default_seed42,test,0.05,0.04990464081373172,0.6160164271047228,0.5160169075510319,0.3232758620689655,0.07099686328513503,1856
lgbm_pr_default_seed2026,val,0.005,0.004887158296249206,0.3131416837782341,0.8943444414576586,0.7126168224299065,0.01637212149032209,428
lgbm_pr_default_seed2026,val,0.01,0.009774316592498411,0.38809034907597534,0.8050339279173786,0.6057692307692307,0.023869635070002296,624
lgbm_pr_default_seed2026,val,0.02,0.019906230133502862,0.47433264887063653,0.6966625129198184,0.4797507788161994,0.036837273353224696,963
lgbm_pr_default_seed2026,val,0.03,0.029799745708836617,0.5431211498973306,0.6123921164509607,0.41360437842064113,0.04892510136944381,1279
lgbm_pr_default_seed2026,val,0.05,0.04974570883661793,0.6026694045174538,0.4966215691635975,0.3191952147906471,0.07034656873995869,1839
lgbm_pr_default_seed2026,test,0.005,0.004926891290527654,0.3162217659137577,0.8686607632564725,0.7129629629629629,0.01652513197154005,432
lgbm_pr_default_seed2026,test,0.01,0.009933248569612207,0.4106776180698152,0.7805304272905091,0.6153846153846154,0.024864203197919058,650
lgbm_pr_default_seed2026,test,0.02,0.01998569612205976,0.4989733059548255,0.6720991065432655,0.4914054600606673,0.03783184148114146,989
lgbm_pr_default_seed2026,test,0.03,0.02972027972027972,0.5482546201232033,0.5947909360494436,0.4165366614664587,0.04903985923035728,1282
lgbm_pr_default_seed2026,test,0.05,0.049586776859504134,0.6119096509240246,0.47880046573342994,0.3232104121475054,0.07053783184148114,1844
lgbm_pr_default_seed777,val,0.005,0.004966624284806103,0.3131416837782341,0.9006585773653766,0.7093023255813954,0.01644862673093107,430
lgbm_pr_default_seed777,val,0.01,0.009893515575333757,0.39117043121149897,0.8179277981603379,0.6047619047619047,0.02409915079182924,630
lgbm_pr_default_seed777,val,0.02,0.019866497139224414,0.47638603696098564,0.7118087485118038,0.48132780082987553,0.03687552597352919,964
lgbm_pr_default_seed777,val,0.03,0.029998410680228862,0.5379876796714579,0.6302605873453742,0.40969507427677876,0.04892510136944381,1279
lgbm_pr_default_seed777,val,0.05,0.04994437380801017,0.6098562628336756,0.5210479610504141,0.3209076175040519,0.07080560018361258,1851
lgbm_pr_default_seed777,test,0.005,0.004887158296249206,0.3203285420944558,0.8759555105062673,0.7172413793103448,0.016639889832453524,435
lgbm_pr_default_seed777,test,0.01,0.009972981563890655,0.40143737166324434,0.7979488158650342,0.6090342679127726,0.02455818223548313,642
lgbm_pr_default_seed777,test,0.02,0.01958836617927527,0.5030800821355236,0.6950885404205405,0.49847405900305186,0.03760232575931451,983
lgbm_pr_default_seed777,test,0.03,0.029998410680228862,0.5523613963039015,0.6080311859374744,0.41608662026295434,0.04946063805370668,1293
lgbm_pr_default_seed777,test,0.05,0.04994437380801017,0.6129363449691991,0.5004657595953853,0.3220064724919094,0.07092035804452605,1854
lgbm_auc_default_seed42,val,0.005,0.004807692307692308,0.2515400410677618,0.9359974910414125,0.6693989071038251,0.014000459031443653,366
lgbm_auc_default_seed42,val,0.01,0.009972981563890655,0.36960985626283366,0.8920235792547561,0.5891980360065466,0.023372351006043915,611
lgbm_auc_default_seed42,val,0.02,0.019469167196439922,0.46098562628336753,0.8140960661539771,0.47816826411075614,0.035919210465916916,939
lgbm_auc_default_seed42,val,0.03,0.02936268277177368,0.5174537987679672,0.7575224502314886,0.40547063555913115,0.04754800703848214,1243
lgbm_auc_default_seed42,val,0.05,0.04966624284806103,0.6190965092402464,0.6667118682145212,0.32541824069077174,0.07088210542422156,1853
lgbm_auc_default_seed42,test,0.005,0.004926891290527654,0.2813141683778234,0.9207132145538606,0.6884422110552764,0.015224542881187362,398
lgbm_auc_default_seed42,test,0.01,0.009972981563890655,0.3860369609856263,0.8725958867370157,0.5996810207336523,0.02398439293091577,627
lgbm_auc_default_seed42,test,0.02,0.01994596312778131,0.4856262833675565,0.7952357911546057,0.48512820512820515,0.037296304796878586,975
lgbm_auc_default_seed42,test,0.03,0.029998410680228862,0.5410677618069816,0.7439073776461406,0.4110764430577223,0.04903985923035728,1282
lgbm_auc_default_seed42,test,0.05,0.04998410680228862,0.6283367556468172,0.6514247009590944,0.32727272727272727,0.0715323999693979,1870
lgbm_auc_default_seed2026,val,0.005,0.004926891290527654,0.2535934291581109,0.9364300661952049,0.6657681940700808,0.014191722132966109,371
lgbm_auc_default_seed2026,val,0.01,0.009972981563890655,0.364476386036961,0.8910122696089222,0.5858085808580858,0.02318108790452146,606
lgbm_auc_default_seed2026,val,0.02,0.01982676414494596,0.4650924024640657,0.8107000918174996,0.47584033613445376,0.0364164945298753,952
lgbm_auc_default_seed2026,val,0.03,0.029998410680228862,0.5277207392197125,0.7511771925860344,0.40504334121355395,0.0485425751663989,1269
lgbm_auc_default_seed2026,val,0.05,0.04994437380801017,0.6139630390143738,0.6613589982258044,0.32237196765498655,0.07095861066483054,1855
lgbm_auc_default_seed2026,test,0.005,0.004926891290527654,0.2731006160164271,0.9212880514123111,0.6820512820512821,0.014918521918751435,390
lgbm_auc_default_seed2026,test,0.01,0.00981404958677686,0.3870636550308008,0.8725138637548547,0.6041666666666666,0.023869635070002296,624
lgbm_auc_default_seed2026,test,0.02,0.01994596312778131,0.4856262833675565,0.7965150340783469,0.48512820512820515,0.037296304796878586,975
lgbm_auc_default_seed2026,test,0.03,0.029918944691671966,0.5472279260780287,0.7422453996043327,0.4144634525660964,0.04919286971157524,1286
lgbm_auc_default_seed2026,test,0.05,0.04930864589955499,0.6170431211498973,0.6557883711532393,0.3262757871878393,0.07046132660087216,1842
lgbm_auc_default_seed777,val,0.005,0.004887158296249206,0.2648870636550308,0.9348293521822618,0.6771653543307087,0.014574248336011017,381
lgbm_auc_default_seed777,val,0.01,0.009853782581055308,0.36858316221765913,0.8923489554000998,0.5914332784184514,0.02321934052482595,607
lgbm_auc_default_seed777,val,0.02,0.019906230133502862,0.46098562628336753,0.8128663589420736,0.4726315789473684,0.036339989289266315,950
