rank,source_row_index,client_id,fraud_risk_score,profile_fraud_label,split,model_name,tx_count_total,tx_amount_sum,tx_amount_mean,tx_freq_per_day,top_email_domain,identity_present,low_history_flag,history_support_score
1,71280,15066_251.0_45,0.9944869793539595,1,train,lgbm_auc_unweighted_seed2026,2,600.0,300.0,2.0,mail.com,1,1,0.2
2,89369,3682_225.0_109,0.9906629801661312,1,train,lgbm_auc_unweighted_seed2026,1,500.0,500.0,1.0,gmail.com,1,1,0.1
3,85900,10069_441.0_45,0.9892378709604122,1,val,lgbm_auc_unweighted_seed2026,1,300.0,300.0,1.0,mail.com,1,1,0.1
4,50627,11319_191.0_76,0.9891500456305995,1,test,lgbm_auc_unweighted_seed2026,1,200.0,200.0,1.0,gmail.com,1,1,0.1
5,153964,18195_225.0_109,0.9886233754801762,1,train,lgbm_auc_unweighted_seed2026,1,500.0,500.0,1.0,gmail.com,1,1,0.1
6,123689,13844_325.0_106,0.9884458430110329,1,train,lgbm_auc_unweighted_seed2026,1,350.0,350.0,1.0,yahoo.com,1,1,0.1
7,33061,18195_476.0_109,0.9884180037547101,1,train,lgbm_auc_unweighted_seed2026,1,500.0,500.0,1.0,gmail.com,1,1,0.1
8,148251,3682_272.0_109,0.9877669871772958,1,train,lgbm_auc_unweighted_seed2026,1,500.0,500.0,1.0,gmail.com,1,1,0.1
9,160533,14210_476.0_170,0.9858206070065202,1,train,lgbm_auc_unweighted_seed2026,1,300.0,300.0,1.0,gmail.com,1,1,0.1
10,12324,1047_204.0_96,0.982918158360001,1,train,lgbm_auc_unweighted_seed2026,1,300.0,300.0,1.0,gmail.com,1,1,0.1
11,23101,4151_299.0_18,0.9825946283546144,1,train,lgbm_auc_unweighted_seed2026,1,450.0,450.0,1.0,gmail.com,1,1,0.1
12,162274,10486_184.0_107,0.9792218795423255,1,test,lgbm_auc_unweighted_seed2026,1,350.0,350.0,1.0,gmail.com,1,1,0.1
13,69021,16075_384.0_160,0.9783882676417259,1,train,lgbm_auc_unweighted_seed2026,2,600.0,300.0,2.0,gmail.com,1,1,0.2
14,17385,6019_181.0_35,0.9781367129072733,1,train,lgbm_auc_unweighted_seed2026,1,375.0,375.0,1.0,gmail.com,1,1,0.1
15,84278,1342_231.0_142,0.977238991003359,1,train,lgbm_auc_unweighted_seed2026,1,475.0,475.0,1.0,gmail.com,1,1,0.1
16,15588,13052_191.0_15,0.9771453939267354,1,train,lgbm_auc_unweighted_seed2026,1,500.0,500.0,1.0,gmail.com,1,1,0.1
17,21029,4151_272.0_14,0.9766609272958604,1,train,lgbm_auc_unweighted_seed2026,1,480.0,480.0,1.0,gmail.com,1,1,0.1
18,22101,4151_203.0_20,0.976226319815331,1,train,lgbm_auc_unweighted_seed2026,1,450.0,450.0,1.0,gmail.com,1,1,0.1
19,58110,16075_220.0_13,0.9751556606456336,1,val,lgbm_auc_unweighted_seed2026,1,200.0,200.0,1.0,gmail.com,1,1,0.1
20,68901,16075_123.0_174,0.9750382627658379,1,train,lgbm_auc_unweighted_seed2026,1,500.0,500.0,1.0,outlook.com,1,1,0.1
21,52778,1735_325.0_85,0.974463926188243,1,train,lgbm_auc_unweighted_seed2026,1,150.0,150.0,1.0,gmail.com,1,1,0.1
22,47839,18097_126.0_107,0.9742807429589225,1,test,lgbm_auc_unweighted_seed2026,1,300.0,300.0,1.0,gmail.com,1,1,0.1
23,62360,12557_441.0_76,0.9736771650399862,1,train,lgbm_auc_unweighted_seed2026,1,300.0,300.0,1.0,gmail.com,1,1,0.1
24,118995,15315__97,0.9730549778814518,1,train,lgbm_auc_unweighted_seed2026,1,31.66,31.66,1.0,gmail.com,1,1,0.1
25,53348,6019_327.0_31,0.9725499401009337,1,train,lgbm_auc_unweighted_seed2026,2,300.0,150.0,2.0,gmail.com,1,1,0.2
26,37275,16326_184.0_133,0.9716886574643332,1,train,lgbm_auc_unweighted_seed2026,1,150.0,150.0,1.0,gmail.com,1,1,0.1
27,34161,16075_264.0_175,0.9711878586229278,1,val,lgbm_auc_unweighted_seed2026,1,500.0,500.0,1.0,gmail.com,1,1,0.1
28,152429,1546_204.0_85,0.9709768255716175,1,train,lgbm_auc_unweighted_seed2026,1,150.0,150.0,1.0,gmail.com,1,1,0.1
29,99909,16659_512.0_107,0.9700871003607663,1,test,lgbm_auc_unweighted_seed2026,1,200.0,200.0,1.0,gmail.com,1,1,0.1
30,47159,12116_123.0_20,0.9699018966172781,1,train,lgbm_auc_unweighted_seed2026,1,465.0,465.0,1.0,gmail.com,1,1,0.1
31,37833,13526_177.0_102,0.9694689715164448,1,train,lgbm_auc_unweighted_seed2026,1,300.0,300.0,1.0,gmail.com,1,1,0.1
32,99043,13186_485.0_174,0.9694318483095513,1,train,lgbm_auc_unweighted_seed2026,1,300.0,300.0,1.0,gmail.com,1,1,0.1
