model,split,top_rate,k,fraud_found,total_fraud,precision_at_k,recall_at_k
lgbm_pr_default_seed42,val,0.01,262,205,974,0.7824427480916031,0.2104722792607803
lgbm_pr_default_seed42,val,0.03,785,428,974,0.5452229299363057,0.4394250513347023
lgbm_pr_default_seed42,val,0.05,1308,530,974,0.40519877675840976,0.5441478439425051
lgbm_pr_default_seed42,val,0.1,2615,665,974,0.25430210325047803,0.6827515400410678
lgbm_pr_default_seed42,val,0.15,3922,734,974,0.1871494135645079,0.7535934291581109
lgbm_pr_default_seed42,test,0.01,262,208,974,0.7938931297709924,0.2135523613963039
lgbm_pr_default_seed42,test,0.03,785,438,974,0.5579617834394904,0.44969199178644764
lgbm_pr_default_seed42,test,0.05,1308,543,974,0.4151376146788991,0.5574948665297741
lgbm_pr_default_seed42,test,0.1,2615,650,974,0.248565965583174,0.6673511293634496
lgbm_pr_default_seed42,test,0.15,3922,708,974,0.18052014278429374,0.7268993839835729
lgbm_pr_default_seed2026,val,0.01,262,201,974,0.767175572519084,0.20636550308008214
lgbm_pr_default_seed2026,val,0.03,785,425,974,0.5414012738853503,0.43634496919917864
lgbm_pr_default_seed2026,val,0.05,1308,533,974,0.4074923547400612,0.5472279260780287
lgbm_pr_default_seed2026,val,0.1,2615,641,974,0.2451242829827916,0.6581108829568788
lgbm_pr_default_seed2026,val,0.15,3922,712,974,0.18154003059663437,0.731006160164271
lgbm_pr_default_seed2026,test,0.01,262,215,974,0.8206106870229007,0.22073921971252566
lgbm_pr_default_seed2026,test,0.03,785,440,974,0.5605095541401274,0.4517453798767967
lgbm_pr_default_seed2026,test,0.05,1308,534,974,0.40825688073394495,0.5482546201232033
lgbm_pr_default_seed2026,test,0.1,2615,635,974,0.24282982791587,0.6519507186858317
lgbm_pr_default_seed2026,test,0.15,3922,698,974,0.17797042325344212,0.7166324435318275
lgbm_pr_default_seed777,val,0.01,262,204,974,0.7786259541984732,0.20944558521560575
lgbm_pr_default_seed777,val,0.03,785,418,974,0.532484076433121,0.42915811088295686
lgbm_pr_default_seed777,val,0.05,1308,528,974,0.4036697247706422,0.5420944558521561
lgbm_pr_default_seed777,val,0.1,2615,655,974,0.25047801147227533,0.6724845995893224
lgbm_pr_default_seed777,val,0.15,3922,726,974,0.18510963793982663,0.7453798767967146
lgbm_pr_default_seed777,test,0.01,262,216,974,0.8244274809160306,0.22176591375770022
lgbm_pr_default_seed777,test,0.03,785,436,974,0.5554140127388535,0.44763860369609854
lgbm_pr_default_seed777,test,0.05,1308,538,974,0.41131498470948014,0.5523613963039015
lgbm_pr_default_seed777,test,0.1,2615,644,974,0.2462715105162524,0.6611909650924025
lgbm_pr_default_seed777,test,0.15,3922,706,974,0.18001019887812342,0.7248459958932238
lgbm_auc_default_seed42,val,0.01,262,188,974,0.7175572519083969,0.19301848049281314
lgbm_auc_default_seed42,val,0.03,785,414,974,0.5273885350318471,0.42505133470225875
lgbm_auc_default_seed42,val,0.05,1308,513,974,0.3922018348623853,0.526694045174538
lgbm_auc_default_seed42,val,0.1,2615,667,974,0.25506692160611855,0.6848049281314168
lgbm_auc_default_seed42,val,0.15,3922,755,974,0.19250382457929627,0.7751540041067762
lgbm_auc_default_seed42,test,0.01,262,192,974,0.732824427480916,0.1971252566735113
lgbm_auc_default_seed42,test,0.03,785,424,974,0.5401273885350318,0.4353182751540041
lgbm_auc_default_seed42,test,0.05,1308,531,974,0.4059633027522936,0.5451745379876797
lgbm_auc_default_seed42,test,0.1,2615,662,974,0.2531548757170172,0.6796714579055442
lgbm_auc_default_seed42,test,0.15,3922,733,974,0.18689444161142274,0.7525667351129364
lgbm_auc_default_seed2026,val,0.01,262,189,974,0.7213740458015268,0.19404517453798767
lgbm_auc_default_seed2026,val,0.03,785,415,974,0.5286624203821656,0.4260780287474333
lgbm_auc_default_seed2026,val,0.05,1308,519,974,0.3967889908256881,0.5328542094455853
lgbm_auc_default_seed2026,val,0.1,2615,665,974,0.25430210325047803,0.6827515400410678
lgbm_auc_default_seed2026,val,0.15,3922,752,974,0.1917389087200408,0.7720739219712526
lgbm_auc_default_seed2026,test,0.01,262,191,974,0.7290076335877863,0.19609856262833675
lgbm_auc_default_seed2026,test,0.03,785,423,974,0.5388535031847134,0.4342915811088296
lgbm_auc_default_seed2026,test,0.05,1308,536,974,0.40978593272171254,0.5503080082135524
lgbm_auc_default_seed2026,test,0.1,2615,660,974,0.25239005736137665,0.6776180698151951
lgbm_auc_default_seed2026,test,0.15,3922,734,974,0.1871494135645079,0.7535934291581109
lgbm_auc_default_seed777,val,0.01,262,188,974,0.7175572519083969,0.19301848049281314
lgbm_auc_default_seed777,val,0.03,785,409,974,0.5210191082802548,0.419917864476386
lgbm_auc_default_seed777,val,0.05,1308,522,974,0.39908256880733944,0.5359342915811088
lgbm_auc_default_seed777,val,0.1,2615,668,974,0.25544933078393883,0.6858316221765913
lgbm_auc_default_seed777,val,0.15,3922,749,974,0.1909739928607853,0.768993839835729
lgbm_auc_default_seed777,test,0.01,262,194,974,0.7404580152671756,0.19917864476386038
lgbm_auc_default_seed777,test,0.03,785,416,974,0.5299363057324841,0.4271047227926078
lgbm_auc_default_seed777,test,0.05,1308,537,974,0.4105504587155963,0.5513347022587269
lgbm_auc_default_seed777,test,0.1,2615,668,974,0.25544933078393883,0.6858316221765913
lgbm_auc_default_seed777,test,0.15,3922,735,974,0.18740438551759306,0.7546201232032854
lgbm_auc_more_leaves_seed42,val,0.01,262,186,974,0.7099236641221374,0.19096509240246407
lgbm_auc_more_leaves_seed42,val,0.03,785,415,974,0.5286624203821656,0.4260780287474333
lgbm_auc_more_leaves_seed42,val,0.05,1308,520,974,0.39755351681957185,0.5338809034907598
lgbm_auc_more_leaves_seed42,val,0.1,2615,672,974,0.25697896749521987,0.6899383983572895
lgbm_auc_more_leaves_seed42,val,0.15,3922,757,974,0.19301376848546659,0.7772073921971252
lgbm_auc_more_leaves_seed42,test,0.01,262,192,974,0.732824427480916,0.1971252566735113
lgbm_auc_more_leaves_seed42,test,0.03,785,430,974,0.5477707006369427,0.4414784394250513
lgbm_auc_more_leaves_seed42,test,0.05,1308,537,974,0.4105504587155963,0.5513347022587269
lgbm_auc_more_leaves_seed42,test,0.1,2615,665,974,0.25430210325047803,0.6827515400410678
lgbm_auc_more_leaves_seed42,test,0.15,3922,739,974,0.1884242733299337,0.7587268993839835
lgbm_auc_more_leaves_seed2026,val,0.01,262,190,974,0.7251908396946565,0.19507186858316222
lgbm_auc_more_leaves_seed2026,val,0.03,785,417,974,0.5312101910828025,0.42813141683778233
lgbm_auc_more_leaves_seed2026,val,0.05,1308,529,974,0.404434250764526,0.5431211498973306
lgbm_auc_more_leaves_seed2026,val,0.1,2615,674,974,0.25774378585086044,0.6919917864476386
lgbm_auc_more_leaves_seed2026,val,0.15,3922,749,974,0.1909739928607853,0.768993839835729
lgbm_auc_more_leaves_seed2026,test,0.01,262,194,974,0.7404580152671756,0.19917864476386038
lgbm_auc_more_leaves_seed2026,test,0.03,785,428,974,0.5452229299363057,0.4394250513347023
lgbm_auc_more_leaves_seed2026,test,0.05,1308,543,974,0.4151376146788991,0.5574948665297741
lgbm_auc_more_leaves_seed2026,test,0.1,2615,666,974,0.25468451242829826,0.6837782340862423
lgbm_auc_more_leaves_seed2026,test,0.15,3922,738,974,0.18816930137684854,0.757700205338809
lgbm_auc_more_leaves_seed777,val,0.01,262,192,974,0.732824427480916,0.1971252566735113
lgbm_auc_more_leaves_seed777,val,0.03,785,414,974,0.5273885350318471,0.42505133470225875
lgbm_auc_more_leaves_seed777,val,0.05,1308,514,974,0.3929663608562691,0.5277207392197125
lgbm_auc_more_leaves_seed777,val,0.1,2615,674,974,0.25774378585086044,0.6919917864476386
lgbm_auc_more_leaves_seed777,val,0.15,3922,745,974,0.18995410504844468,0.7648870636550308
lgbm_auc_more_leaves_seed777,test,0.01,262,189,974,0.7213740458015268,0.19404517453798767
lgbm_auc_more_leaves_seed777,test,0.03,785,423,974,0.5388535031847134,0.4342915811088296
lgbm_auc_more_leaves_seed777,test,0.05,1308,533,974,0.4074923547400612,0.5472279260780287
lgbm_auc_more_leaves_seed777,test,0.1,2615,662,974,0.2531548757170172,0.6796714579055442
lgbm_auc_more_leaves_seed777,test,0.15,3922,734,974,0.1871494135645079,0.7535934291581109
lgbm_pr_regularized_seed42,val,0.01,262,200,974,0.7633587786259542,0.2053388090349076
lgbm_pr_regularized_seed42,val,0.03,785,430,974,0.5477707006369427,0.4414784394250513
lgbm_pr_regularized_seed42,val,0.05,1308,523,974,0.39984709480122327,0.5369609856262834
