rank,fraud_risk_score,profile_fraud_label,line
1,0.9944869793539596,1,LightGBM all
2,0.9906629801661312,1,LightGBM all
3,0.9892378709604122,1,LightGBM all
4,0.9891500456305996,1,LightGBM all
5,0.9886233754801762,1,LightGBM all
6,0.9884458430110328,1,LightGBM all
7,0.98841800375471,1,LightGBM all
8,0.9877669871772958,1,LightGBM all
9,0.9858206070065202,1,LightGBM all
10,0.982918158360001,1,LightGBM all
11,0.9825946283546144,1,LightGBM all
12,0.9792218795423256,1,LightGBM all
13,0.978388267641726,1,LightGBM all
14,0.9781367129072732,1,LightGBM all
15,0.977238991003359,1,LightGBM all
16,0.9771453939267354,1,LightGBM all
17,0.9766609272958604,1,LightGBM all
18,0.976226319815331,1,LightGBM all
19,0.9751556606456336,1,LightGBM all
20,0.975038262765838,1,LightGBM all
21,0.974463926188243,1,LightGBM all
22,0.9742807429589224,1,LightGBM all
23,0.9736771650399862,1,LightGBM all
24,0.9730549778814518,1,LightGBM all
25,0.9725499401009337,1,LightGBM all
26,0.9716886574643332,1,LightGBM all
27,0.9711878586229278,1,LightGBM all
28,0.9709768255716176,1,LightGBM all
29,0.9700871003607664,1,LightGBM all
30,0.969901896617278,1,LightGBM all
31,0.9694689715164448,1,LightGBM all
32,0.9694318483095512,1,LightGBM all
33,0.9691319794556016,1,LightGBM all
34,0.9686093278071148,1,LightGBM all
35,0.968474054952372,1,LightGBM all
36,0.9679730147898116,1,LightGBM all
37,0.966658459403296,1,LightGBM all
38,0.9666339656923773,1,LightGBM all
39,0.9665393111581486,1,LightGBM all
40,0.9663458716784136,1,LightGBM all
41,0.9654265757795414,1,LightGBM all
42,0.9653916483395276,1,LightGBM all
43,0.9651827675996498,1,LightGBM all
44,0.965097210578496,1,LightGBM all
45,0.9643299758290378,1,LightGBM all
46,0.9636322293712912,1,LightGBM all
47,0.9633583816037125,1,LightGBM all
48,0.9622509153051354,1,LightGBM all
49,0.9620962725323406,1,LightGBM all
50,0.9614880225010096,1,LightGBM all
51,0.9613623878816538,1,LightGBM all
52,0.9610956313962584,1,LightGBM all
53,0.961000774431736,1,LightGBM all
54,0.9605896451584588,1,LightGBM all
55,0.9595432971230612,1,LightGBM all
