rank,source_row_index,client_id,fraud_risk_score,profile_fraud_label,split,model_name,tx_count_total,tx_amount_sum,tx_amount_mean,tx_freq_per_day,top_email_domain,identity_present,low_history_flag,history_support_score
1,85900,10069_441.0_45,0.999790543727777,1,val,catboost_v1_1_longrun,1,300.0,300.0,1.0,mail.com,1,1,0.1
2,71280,15066_251.0_45,0.9997316084260723,1,train,catboost_v1_1_longrun,2,600.0,300.0,2.0,mail.com,1,1,0.2
3,43226,10486_441.0_114,0.999636541738536,1,train,catboost_v1_1_longrun,1,325.0,325.0,1.0,mail.com,1,1,0.1
4,61730,12686_327.0_134,0.9995881070238994,1,train,catboost_v1_1_longrun,1,300.0,300.0,1.0,outlook.com,1,1,0.1
5,111320,10145_387.0_75,0.9995494128490562,1,train,catboost_v1_1_longrun,1,450.0,450.0,1.0,gmail.com,1,1,0.1
6,89369,3682_225.0_109,0.9995250970127212,1,train,catboost_v1_1_longrun,1,500.0,500.0,1.0,gmail.com,1,1,0.1
7,68901,16075_123.0_174,0.9995065560555635,1,train,catboost_v1_1_longrun,1,500.0,500.0,1.0,outlook.com,1,1,0.1
8,152465,10486_472.0_114,0.9994905207374112,1,test,catboost_v1_1_longrun,1,325.0,325.0,1.0,mail.com,1,1,0.1
9,42258,3682_264.0_70,0.9994582221778652,1,train,catboost_v1_1_longrun,1,275.0,275.0,1.0,gmail.com,1,1,0.1
10,34161,16075_264.0_175,0.9994170785122173,1,val,catboost_v1_1_longrun,1,500.0,500.0,1.0,gmail.com,1,1,0.1
11,123689,13844_325.0_106,0.9993666766690902,1,train,catboost_v1_1_longrun,1,350.0,350.0,1.0,yahoo.com,1,1,0.1
12,84278,1342_231.0_142,0.9993616343647281,1,train,catboost_v1_1_longrun,1,475.0,475.0,1.0,gmail.com,1,1,0.1
13,52778,1735_325.0_85,0.9992517969610168,1,train,catboost_v1_1_longrun,1,150.0,150.0,1.0,gmail.com,1,1,0.1
14,24646,6288_177.0_35,0.9992479185106719,1,train,catboost_v1_1_longrun,1,300.0,300.0,1.0,gmail.com,1,1,0.1
15,27396,3489_356.0_17,0.999127307588678,1,train,catboost_v1_1_longrun,2,1000.0,500.0,2.0,outlook.com,1,1,0.2
16,33061,18195_476.0_109,0.9990735669666949,1,train,catboost_v1_1_longrun,1,500.0,500.0,1.0,gmail.com,1,1,0.1
17,81844,3489_356.0_18,0.9990416361538123,1,train,catboost_v1_1_longrun,1,500.0,500.0,1.0,outlook.com,1,1,0.1
