metric,mean,std,q02_5,q50,q97_5
roc_auc,0.898632372361113,0.005507827607964472,0.8875737130062465,0.8986945761256278,0.9094100421812423
pr_auc,0.49703108917208133,0.016969973708268127,0.46222750494087006,0.49728021778516074,0.5298102879974317
top5_precision,0.41948470948012234,0.01623158915580062,0.3876146788990826,0.4197247706422018,0.45223623853211
top5_recall,0.5636698398580241,0.01472743168212094,0.5342239496029237,0.5641795301697715,0.5915046665046665
recall_at_fpr_0_01,0.4164502333626128,0.019289192429006036,0.37765899110971024,0.4165431129572398,0.4548765460013114
precision_at_fpr_0_01,0.6178278078665707,0.013495334158423342,0.5903467987804878,0.6179604261796042,0.6435773413009404
recall_at_fpr_0_03,0.5629317499911493,0.01651028859287933,0.5306003268938276,0.563265510173474,0.593998122853263
precision_at_fpr_0_03,0.42094846521384566,0.010866079880927469,0.3991207190316635,0.4210324507587988,0.4421291299809637
recall_at_fpr_0_05,0.6422608935273558,0.01672765850134588,0.6098698369678569,0.6427038626609443,0.6741369798234552
precision_at_fpr_0_05,0.3320957346671338,0.009472383159580952,0.3128540656548191,0.3320905451454807,0.3506625332761255
