model,split,threshold,precision,recall,f1,pred_positive_rate,pred_positive_count
proxy_time_model,val,0.05,0.2559444296019236,0.7235649546827795,0.3781330175646339,0.14317408101595072,3743
proxy_time_model,val,0.075,0.3308214016578749,0.6631419939577039,0.44142785319255906,0.10151857093677084,2654
proxy_time_model,val,0.1,0.39164619164619163,0.601963746223565,0.4745459958320929,0.07784110469341697,2035
proxy_time_model,val,0.125,0.43280047365304913,0.5521148036253777,0.4852306671091935,0.06460620433768122,1689
proxy_time_model,val,0.15,0.48098591549295777,0.5158610271903323,0.4978134110787172,0.054316643078453124,1420
proxy_time_model,val,0.2,0.5498676081200353,0.4705438066465257,0.5071225071225072,0.043338560991469995,1133
proxy_time_model,val,0.25,0.608324439701174,0.43051359516616317,0.5042016806722689,0.03584133420035956,937
proxy_time_model,val,0.3,0.6491885143570537,0.39274924471299094,0.4894117647058824,0.03063917683509926,801
proxy_time_model,val,0.4,0.72,0.32628398791540786,0.4490644490644491,0.022950694258501318,600
proxy_time_model,val,0.5,0.7634660421545667,0.24622356495468278,0.3723586521987436,0.016333244080633438,427
proxy_time_model,test,0.05,0.22210849539406347,0.7245409015025042,0.3399921660791226,0.14949124014995027,3908
proxy_time_model,test,0.075,0.28566162919277555,0.6469115191986644,0.3963180772181028,0.1037793588860837,2713
proxy_time_model,test,0.1,0.3394762366634336,0.5843071786310517,0.4294478527607362,0.07887690306786015,2062
proxy_time_model,test,0.125,0.39407041383570107,0.5325542570951586,0.4529641462548811,0.0619309922729707,1619
proxy_time_model,test,0.15,0.42950108459869846,0.4958263772954925,0.46028671057729564,0.052903373881110854,1383
proxy_time_model,test,0.2,0.49236641221374045,0.4307178631051753,0.4594835262689225,0.04008874607910642,1048
proxy_time_model,test,0.25,0.5404454865181711,0.38480801335559267,0.4495368113115553,0.032629485119730704,853
proxy_time_model,test,0.3,0.5942028985507246,0.34223706176961605,0.4343220338983051,0.02639430801009869,690
proxy_time_model,test,0.4,0.64375,0.2579298831385643,0.36829558998808104,0.018361257746155612,480
proxy_time_model,test,0.5,0.7051671732522796,0.19365609348914858,0.30386378519973806,0.012585112080177492,329
