metric,mean,std,min,max
seed,948.3333333333334,1003.0355593563635,42.0,2026.0
elapsed_sec,7.005268017450969,1.8500504331742371,5.8897199630737305,9.140809774398804
pr_auc,0.04560865326679666,0.010179027068411802,0.03664287772742189,0.05667361850432214
precision_0_5,0.0,0.0,0.0,0.0
recall_0_5,0.0,0.0,0.0,0.0
f1_0_5,0.0,0.0,0.0,0.0
pred_positive_rate,0.0,0.0,0.0,0.0
roc_auc,0.45332907012718476,0.03628721767240252,0.42888173404903845,0.4950231977048526
partial_roc_auc_fpr_0_01,0.5058635723443276,0.007678458359237975,0.4996452356462694,0.5144461253232487
partial_roc_auc_fpr_0_03,0.5178134699157727,0.01339042022512788,0.5079229410684619,0.5330512769381205
partial_roc_auc_fpr_0_05,0.5266202723509275,0.017486918997429553,0.5154136520802709,0.546770096934901
partial_roc_auc_fpr_0_1,0.5330934847948087,0.020202944975704955,0.5162336391412329,0.5554865086057821
