Название пакета,Эксперимент,Порядковый номер,Код кейса,Решение эксперта
Общий пакет,Эксперимент 1: спокойный рабочий поток,1,R001,на контроль
Общий пакет,Эксперимент 1: спокойный рабочий поток,2,R002,пропуск
Общий пакет,Эксперимент 1: спокойный рабочий поток,3,R003,пропуск
Общий пакет,Эксперимент 1: спокойный рабочий поток,4,R004,пропуск
Общий пакет,Эксперимент 1: спокойный рабочий поток,5,R005,пропуск
Общий пакет,Эксперимент 1: спокойный рабочий поток,6,R006,пропуск
Общий пакет,Эксперимент 1: спокойный рабочий поток,7,R007,пропуск
Общий пакет,Эксперимент 1: спокойный рабочий поток,8,R008,на контроль
Общий пакет,Эксперимент 1: спокойный рабочий поток,9,R009,пропуск
Общий пакет,Эксперимент 1: спокойный рабочий поток,10,R010,пропуск
Общий пакет,Эксперимент 1: спокойный рабочий поток,11,R011,пропуск
Общий пакет,Эксперимент 1: спокойный рабочий поток,12,R012,пропуск
Общий пакет,Эксперимент 1: спокойный рабочий поток,13,R013,пропуск
Общий пакет,Эксперимент 1: спокойный рабочий поток,14,R014,пропуск
Общий пакет,Эксперимент 1: спокойный рабочий поток,15,R015,на контроль
Общий пакет,Эксперимент 1: спокойный рабочий поток,16,R016,пропуск
Общий пакет,Эксперимент 1: спокойный рабочий поток,17,R017,пропуск
Общий пакет,Эксперимент 1: спокойный рабочий поток,18,R018,пропуск
Общий пакет,Эксперимент 1: спокойный рабочий поток,19,R019,пропуск
Общий пакет,Эксперимент 1: спокойный рабочий поток,20,R020,на контроль
Общий пакет,Эксперимент 1: спокойный рабочий поток,21,R021,пропуск
Общий пакет,Эксперимент 1: спокойный рабочий поток,22,R022,пропуск
Общий пакет,Эксперимент 1: спокойный рабочий поток,23,R023,пропуск
Общий пакет,Эксперимент 1: спокойный рабочий поток,24,R024,на контроль
Общий пакет,Эксперимент 1: спокойный рабочий поток,25,R025,на контроль
Общий пакет,Эксперимент 1: спокойный рабочий поток,26,R026,пропуск
Общий пакет,Эксперимент 1: спокойный рабочий поток,27,R027,на контроль
Общий пакет,Эксперимент 1: спокойный рабочий поток,28,R028,пропуск
Общий пакет,Эксперимент 1: спокойный рабочий поток,29,R029,на контроль
Общий пакет,Эксперимент 1: спокойный рабочий поток,30,R030,пропуск
Общий пакет,Эксперимент 1: спокойный рабочий поток,31,R031,пропуск
Общий пакет,Эксперимент 1: спокойный рабочий поток,32,R032,пропуск
Общий пакет,Эксперимент 1: спокойный рабочий поток,33,R033,на контроль
Общий пакет,Эксперимент 1: спокойный рабочий поток,34,R034,пропуск
Общий пакет,Эксперимент 1: спокойный рабочий поток,35,R035,пропуск
Общий пакет,Эксперимент 1: спокойный рабочий поток,36,R036,пропуск
Общий пакет,Эксперимент 1: спокойный рабочий поток,37,R037,пропуск
Общий пакет,Эксперимент 1: спокойный рабочий поток,38,R038,пропуск
Общий пакет,Эксперимент 1: спокойный рабочий поток,39,R039,на контроль
Общий пакет,Эксперимент 1: спокойный рабочий поток,40,R040,пропуск
Общий пакет,Эксперимент 1: спокойный рабочий поток,41,R041,на контроль
Общий пакет,Эксперимент 1: спокойный рабочий поток,42,R042,пропуск
Общий пакет,Эксперимент 1: спокойный рабочий поток,43,R043,пропуск
Общий пакет,Эксперимент 1: спокойный рабочий поток,44,R044,пропуск
Общий пакет,Эксперимент 1: спокойный рабочий поток,45,R045,пропуск
Общий пакет,Эксперимент 1: спокойный рабочий поток,46,R046,на контроль
Общий пакет,Эксперимент 1: спокойный рабочий поток,47,R047,пропуск
Общий пакет,Эксперимент 1: спокойный рабочий поток,48,R048,пропуск
Общий пакет,Эксперимент 1: спокойный рабочий поток,49,R049,пропуск
Общий пакет,Эксперимент 1: спокойный рабочий поток,50,R050,пропуск
Общий пакет,Эксперимент 2: обогащённая проверка,1,E001,на контроль
Общий пакет,Эксперимент 2: обогащённая проверка,2,E002,на контроль
Общий пакет,Эксперимент 2: обогащённая проверка,3,E003,пропуск
Общий пакет,Эксперимент 2: обогащённая проверка,4,E004,на контроль
Общий пакет,Эксперимент 2: обогащённая проверка,5,E005,пропуск
Общий пакет,Эксперимент 2: обогащённая проверка,6,E006,на контроль
Общий пакет,Эксперимент 2: обогащённая проверка,7,E007,на контроль
Общий пакет,Эксперимент 2: обогащённая проверка,8,E008,пропуск
Общий пакет,Эксперимент 2: обогащённая проверка,9,E009,на контроль
Общий пакет,Эксперимент 2: обогащённая проверка,10,E010,на контроль
Общий пакет,Эксперимент 2: обогащённая проверка,11,E011,на контроль
Общий пакет,Эксперимент 2: обогащённая проверка,12,E012,на контроль
Общий пакет,Эксперимент 2: обогащённая проверка,13,E013,на контроль
Общий пакет,Эксперимент 2: обогащённая проверка,14,E014,пропуск
Общий пакет,Эксперимент 2: обогащённая проверка,15,E015,на контроль
Общий пакет,Эксперимент 2: обогащённая проверка,16,E016,пропуск
Общий пакет,Эксперимент 2: обогащённая проверка,17,E017,пропуск
Общий пакет,Эксперимент 2: обогащённая проверка,18,E018,пропуск
Общий пакет,Эксперимент 2: обогащённая проверка,19,E019,на контроль
Общий пакет,Эксперимент 2: обогащённая проверка,20,E020,на контроль
Общий пакет,Эксперимент 2: обогащённая проверка,21,E021,на контроль
Общий пакет,Эксперимент 2: обогащённая проверка,22,E022,пропуск
Общий пакет,Эксперимент 2: обогащённая проверка,23,E023,на контроль
Общий пакет,Эксперимент 2: обогащённая проверка,24,E024,на контроль
Общий пакет,Эксперимент 2: обогащённая проверка,25,E025,пропуск
Общий пакет,Эксперимент 2: обогащённая проверка,26,E026,на контроль
Общий пакет,Эксперимент 2: обогащённая проверка,27,E027,на контроль
Общий пакет,Эксперимент 2: обогащённая проверка,28,E028,на контроль
Общий пакет,Эксперимент 2: обогащённая проверка,29,E029,на контроль
Общий пакет,Эксперимент 2: обогащённая проверка,30,E030,на контроль
Общий пакет,Эксперимент 2: обогащённая проверка,31,E031,пропуск
Общий пакет,Эксперимент 2: обогащённая проверка,32,E032,на контроль
Общий пакет,Эксперимент 2: обогащённая проверка,33,E033,пропуск
Общий пакет,Эксперимент 2: обогащённая проверка,34,E034,на контроль
Общий пакет,Эксперимент 2: обогащённая проверка,35,E035,пропуск
Общий пакет,Эксперимент 2: обогащённая проверка,36,E036,пропуск
Общий пакет,Эксперимент 2: обогащённая проверка,37,E037,пропуск
Общий пакет,Эксперимент 2: обогащённая проверка,38,E038,пропуск
Общий пакет,Эксперимент 2: обогащённая проверка,39,E039,пропуск
Общий пакет,Эксперимент 2: обогащённая проверка,40,E040,на контроль
Общий пакет,Эксперимент 2: обогащённая проверка,41,E041,на контроль
Общий пакет,Эксперимент 2: обогащённая проверка,42,E042,на контроль
Общий пакет,Эксперимент 2: обогащённая проверка,43,E043,пропуск
Общий пакет,Эксперимент 2: обогащённая проверка,44,E044,на контроль
Общий пакет,Эксперимент 2: обогащённая проверка,45,E045,на контроль
Общий пакет,Эксперимент 2: обогащённая проверка,46,E046,на контроль
Общий пакет,Эксперимент 2: обогащённая проверка,47,E047,пропуск
Общий пакет,Эксперимент 2: обогащённая проверка,48,E048,на контроль
Общий пакет,Эксперимент 2: обогащённая проверка,49,E049,на контроль
Общий пакет,Эксперимент 2: обогащённая проверка,50,E050,на контроль
Общий пакет,Эксперимент 2: обогащённая проверка,51,E051,на контроль
