Название пакета,Эксперимент,Порядковый номер,Код кейса,Решение эксперта
Общий пакет,Эксперимент 1: спокойный рабочий поток,1,R001,
Общий пакет,Эксперимент 1: спокойный рабочий поток,2,R002,
Общий пакет,Эксперимент 1: спокойный рабочий поток,3,R003,
Общий пакет,Эксперимент 1: спокойный рабочий поток,4,R004,
Общий пакет,Эксперимент 1: спокойный рабочий поток,5,R005,
Общий пакет,Эксперимент 1: спокойный рабочий поток,6,R006,
Общий пакет,Эксперимент 1: спокойный рабочий поток,7,R007,
Общий пакет,Эксперимент 1: спокойный рабочий поток,8,R008,
Общий пакет,Эксперимент 1: спокойный рабочий поток,9,R009,
Общий пакет,Эксперимент 1: спокойный рабочий поток,10,R010,
Общий пакет,Эксперимент 1: спокойный рабочий поток,11,R011,
Общий пакет,Эксперимент 1: спокойный рабочий поток,12,R012,
Общий пакет,Эксперимент 1: спокойный рабочий поток,13,R013,
Общий пакет,Эксперимент 1: спокойный рабочий поток,14,R014,
Общий пакет,Эксперимент 1: спокойный рабочий поток,15,R015,
Общий пакет,Эксперимент 1: спокойный рабочий поток,16,R016,
Общий пакет,Эксперимент 1: спокойный рабочий поток,17,R017,
Общий пакет,Эксперимент 1: спокойный рабочий поток,18,R018,
Общий пакет,Эксперимент 1: спокойный рабочий поток,19,R019,
Общий пакет,Эксперимент 1: спокойный рабочий поток,20,R020,
Общий пакет,Эксперимент 1: спокойный рабочий поток,21,R021,
Общий пакет,Эксперимент 1: спокойный рабочий поток,22,R022,
Общий пакет,Эксперимент 1: спокойный рабочий поток,23,R023,
Общий пакет,Эксперимент 1: спокойный рабочий поток,24,R024,
Общий пакет,Эксперимент 1: спокойный рабочий поток,25,R025,
Общий пакет,Эксперимент 1: спокойный рабочий поток,26,R026,
Общий пакет,Эксперимент 1: спокойный рабочий поток,27,R027,
Общий пакет,Эксперимент 1: спокойный рабочий поток,28,R028,
Общий пакет,Эксперимент 1: спокойный рабочий поток,29,R029,
Общий пакет,Эксперимент 1: спокойный рабочий поток,30,R030,
Общий пакет,Эксперимент 1: спокойный рабочий поток,31,R031,
Общий пакет,Эксперимент 1: спокойный рабочий поток,32,R032,
Общий пакет,Эксперимент 1: спокойный рабочий поток,33,R033,
Общий пакет,Эксперимент 1: спокойный рабочий поток,34,R034,
Общий пакет,Эксперимент 1: спокойный рабочий поток,35,R035,
Общий пакет,Эксперимент 1: спокойный рабочий поток,36,R036,
Общий пакет,Эксперимент 1: спокойный рабочий поток,37,R037,
Общий пакет,Эксперимент 1: спокойный рабочий поток,38,R038,
Общий пакет,Эксперимент 1: спокойный рабочий поток,39,R039,
Общий пакет,Эксперимент 1: спокойный рабочий поток,40,R040,
Общий пакет,Эксперимент 1: спокойный рабочий поток,41,R041,
Общий пакет,Эксперимент 1: спокойный рабочий поток,42,R042,
Общий пакет,Эксперимент 1: спокойный рабочий поток,43,R043,
Общий пакет,Эксперимент 1: спокойный рабочий поток,44,R044,
Общий пакет,Эксперимент 1: спокойный рабочий поток,45,R045,
Общий пакет,Эксперимент 1: спокойный рабочий поток,46,R046,
Общий пакет,Эксперимент 1: спокойный рабочий поток,47,R047,
Общий пакет,Эксперимент 1: спокойный рабочий поток,48,R048,
Общий пакет,Эксперимент 1: спокойный рабочий поток,49,R049,
Общий пакет,Эксперимент 1: спокойный рабочий поток,50,R050,
Общий пакет,Эксперимент 2: обогащённая проверка,1,E001,
Общий пакет,Эксперимент 2: обогащённая проверка,2,E002,
Общий пакет,Эксперимент 2: обогащённая проверка,3,E003,
Общий пакет,Эксперимент 2: обогащённая проверка,4,E004,
Общий пакет,Эксперимент 2: обогащённая проверка,5,E005,
Общий пакет,Эксперимент 2: обогащённая проверка,6,E006,
Общий пакет,Эксперимент 2: обогащённая проверка,7,E007,
Общий пакет,Эксперимент 2: обогащённая проверка,8,E008,
Общий пакет,Эксперимент 2: обогащённая проверка,9,E009,
Общий пакет,Эксперимент 2: обогащённая проверка,10,E010,
Общий пакет,Эксперимент 2: обогащённая проверка,11,E011,
Общий пакет,Эксперимент 2: обогащённая проверка,12,E012,
Общий пакет,Эксперимент 2: обогащённая проверка,13,E013,
Общий пакет,Эксперимент 2: обогащённая проверка,14,E014,
Общий пакет,Эксперимент 2: обогащённая проверка,15,E015,
Общий пакет,Эксперимент 2: обогащённая проверка,16,E016,
Общий пакет,Эксперимент 2: обогащённая проверка,17,E017,
Общий пакет,Эксперимент 2: обогащённая проверка,18,E018,
Общий пакет,Эксперимент 2: обогащённая проверка,19,E019,
Общий пакет,Эксперимент 2: обогащённая проверка,20,E020,
Общий пакет,Эксперимент 2: обогащённая проверка,21,E021,
Общий пакет,Эксперимент 2: обогащённая проверка,22,E022,
Общий пакет,Эксперимент 2: обогащённая проверка,23,E023,
Общий пакет,Эксперимент 2: обогащённая проверка,24,E024,
Общий пакет,Эксперимент 2: обогащённая проверка,25,E025,
Общий пакет,Эксперимент 2: обогащённая проверка,26,E026,
Общий пакет,Эксперимент 2: обогащённая проверка,27,E027,
Общий пакет,Эксперимент 2: обогащённая проверка,28,E028,
Общий пакет,Эксперимент 2: обогащённая проверка,29,E029,
Общий пакет,Эксперимент 2: обогащённая проверка,30,E030,
Общий пакет,Эксперимент 2: обогащённая проверка,31,E031,
Общий пакет,Эксперимент 2: обогащённая проверка,32,E032,
Общий пакет,Эксперимент 2: обогащённая проверка,33,E033,
Общий пакет,Эксперимент 2: обогащённая проверка,34,E034,
Общий пакет,Эксперимент 2: обогащённая проверка,35,E035,
Общий пакет,Эксперимент 2: обогащённая проверка,36,E036,
Общий пакет,Эксперимент 2: обогащённая проверка,37,E037,
Общий пакет,Эксперимент 2: обогащённая проверка,38,E038,
Общий пакет,Эксперимент 2: обогащённая проверка,39,E039,
Общий пакет,Эксперимент 2: обогащённая проверка,40,E040,
Общий пакет,Эксперимент 2: обогащённая проверка,41,E041,
Общий пакет,Эксперимент 2: обогащённая проверка,42,E042,
Общий пакет,Эксперимент 2: обогащённая проверка,43,E043,
Общий пакет,Эксперимент 2: обогащённая проверка,44,E044,
Общий пакет,Эксперимент 2: обогащённая проверка,45,E045,
Общий пакет,Эксперимент 2: обогащённая проверка,46,E046,
Общий пакет,Эксперимент 2: обогащённая проверка,47,E047,
Общий пакет,Эксперимент 2: обогащённая проверка,48,E048,
Общий пакет,Эксперимент 2: обогащённая проверка,49,E049,
Общий пакет,Эксперимент 2: обогащённая проверка,50,E050,
Общий пакет,Эксперимент 2: обогащённая проверка,51,E051,
